Date,IUCR,Arrest,Domestic,Beat,District,Ward,Community,Year
01/02/2014 12:01:00 AM,1154,false,false,2433,76575765,40,77,2014
01/02/2014 12:01:00 AM,0810,false,false,0813,008,13,65,2014
01/02/2014 12:01:00 AM,0890,false,false,0512,005,34,49,2014
01/02/2014 12:01:00 AM,0820,false,false,2013,020,48,77,2014
01/02/2014 12:01:00 AM,0840,false,false,2232,022,34,73,2014
01/02/2014 12:01:00 AM,0810,false,false,0111,001,42,32,2014
01/02/2014 12:00:00 AM,0810,false,false,1824,018,43,8,2014
01/02/2014 12:00:00 AM,1310,false,false,1731,017,31,16,2014
01/02/2014 12:00:00 AM,1320,false,false,0822,008,23,62,2014
01/02/2014 12:00:00 AM,0810,false,false,2213,022,19,72,2014
01/02/2014 12:00:00 AM,0810,false,false,0511,005,8,50,2014
01/02/2014 12:00:00 AM,0843,false,false,0613,006,21,71,2014
01/02/2014 12:00:00 AM,2825,false,false,0432,004,10,52,2014
01/01/2014 11:57:00 PM,2825,false,false,1833,018,42,8,2014
01/01/2014 11:55:00 PM,0486,false,true,0823,008,16,66,2014
01/01/2014 11:42:00 PM,0460,true,false,0431,004,7,51,2014
01/01/2014 11:30:00 PM,0460,false,false,0424,004,10,46,2014
01/01/2014 11:30:00 PM,0320,false,false,0725,007,16,67,2014
01/01/2014 11:28:00 PM,0486,true,true,0933,009,16,61,2014
01/01/2014 11:15:00 PM,0460,false,false,2024,020,48,3,2014
01/01/2014 11:15:00 PM,031A,false,false,1133,011,24,27,2014
01/01/2014 11:14:00 PM,1811,true,false,1524,015,37,25,2014
01/01/2014 11:05:00 PM,0486,false,true,1134,011,24,29,2014
01/01/2014 11:02:00 PM,1811,true,false,0621,006,17,71,2014
01/01/2014 11:02:00 PM,1811,true,false,1531,015,37,25,2014
01/01/2014 11:00:00 PM,0810,false,false,1212,012,1,24,2014
01/01/2014 11:00:00 PM,0910,false,false,0223,002,4,38,2014
01/01/2014 11:00:00 PM,0610,false,false,0824,008,16,66,2014
01/01/2014 11:00:00 PM,0460,false,false,1023,010,28,29,2014
01/01/2014 11:00:00 PM,0910,false,false,0915,009,11,60,2014
01/01/2014 11:00:00 PM,0810,false,false,1611,016,41,9,2014
01/01/2014 11:00:00 PM,2825,false,false,0322,003,20,69,2014
01/01/2014 11:00:00 PM,0820,false,false,0523,005,34,53,2014
01/01/2014 11:00:00 PM,0910,false,false,1912,019,47,3,2014 01/01/2014 11:00:00 PM,0910,false,false,1912,019,47,3,2014
